Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung ohne Migrationshintergrund;Bevölkerung ohne Migrationshintergrund
04011;Stadt Bremen;2022-12-31;unter 6;22453;10787;8856;4267;12056;5778;1541;742;11626;5691
04011;Stadt Bremen;2022-12-31;6 - 15;29343;14166;12043;5794;14890;7197;2410;1175;17147;8390
04011;Stadt Bremen;2022-12-31;15 - 18;9107;4285;3479;1562;4855;2372;773;351;6374;3031
04011;Stadt Bremen;2022-12-31;18 - 25;20535;9058;13286;5540;6467;3132;782;386;26050;13072
04011;Stadt Bremen;2022-12-31;25 - 30;18875;8580;13131;5808;4848;2318;896;454;22366;11160
04011;Stadt Bremen;2022-12-31;30 - 50;70033;34373;42640;20806;20374;10026;7019;3541;78635;38941
04011;Stadt Bremen;2022-12-31;50 - 65;33357;16618;16876;8264;11692;5799;4789;2555;84165;42582
04011;Stadt Bremen;2022-12-31;65 oder mehr;20595;11456;8899;5027;7314;3870;4382;2559;98735;56364
04011;Stadt Bremen;2022-12-31;Insgesamt;224298;109323;119210;57068;82496;40492;22592;11763;345098;179231
040111;Mitte (Stadtbezirk);2022-12-31;unter 6;469;220;236;119;219;94;14;7;276;128
040111;Mitte (Stadtbezirk);2022-12-31;6 - 15;539;255;284;134;244;118;11;3;312;163
040111;Mitte (Stadtbezirk);2022-12-31;15 - 18;169;74;97;38;70;35;2;1;129;71
040111;Mitte (Stadtbezirk);2022-12-31;18 - 25;756;281;561;188;176;81;19;12;1060;581
040111;Mitte (Stadtbezirk);2022-12-31;25 - 30;921;396;712;295;186;93;23;8;1355;653
040111;Mitte (Stadtbezirk);2022-12-31;30 - 50;2594;1115;1846;777;604;287;144;51;3142;1388
040111;Mitte (Stadtbezirk);2022-12-31;50 - 65;893;441;537;271;322;151;34;19;2266;1072
040111;Mitte (Stadtbezirk);2022-12-31;65 oder mehr;446;237;256;137;168;86;22;14;2564;1392
040111;Mitte (Stadtbezirk);2022-12-31;Insgesamt;6787;3019;4529;1959;1989;945;269;115;11104;5448
0401111;Mitte (Stadtteil);2022-12-31;unter 6;466;217;235;118;217;92;14;7;276;128
0401111;Mitte (Stadtteil);2022-12-31;6 - 15;537;254;283;133;243;118;11;3;310;163
0401111;Mitte (Stadtteil);2022-12-31;15 - 18;162;73;90;37;70;35;2;1;128;70
0401111;Mitte (Stadtteil);2022-12-31;18 - 25;742;278;548;185;175;81;19;12;1059;581
0401111;Mitte (Stadtteil);2022-12-31;25 - 30;914;395;706;295;185;92;23;8;1352;653
0401111;Mitte (Stadtteil);2022-12-31;30 - 50;2568;1107;1821;769;603;287;144;51;3123;1383
0401111;Mitte (Stadtteil);2022-12-31;50 - 65;886;441;530;271;322;151;34;19;2245;1064
0401111;Mitte (Stadtteil);2022-12-31;65 oder mehr;442;235;254;136;167;85;21;14;2555;1386
0401111;Mitte (Stadtteil);2022-12-31;Insgesamt;6717;3000;4467;1944;1982;941;268;115;11048;5428
04011111;Altstadt (Ortsteil);2022-12-31;unter 6;98;46;57;27;36;17;5;2;43;16
04011111;Altstadt (Ortsteil);2022-12-31;6 - 15;130;71;85;50;43;21;2;0;34;17
04011111;Altstadt (Ortsteil);2022-12-31;15 - 18;37;18;28;12;9;6;0;0;16;10
04011111;Altstadt (Ortsteil);2022-12-31;18 - 25;170;63;127;40;38;21;5;2;243;134
04011111;Altstadt (Ortsteil);2022-12-31;25 - 30;229;97;164;64;54;30;11;3;338;158
04011111;Altstadt (Ortsteil);2022-12-31;30 - 50;653;286;462;192;151;76;40;18;629;244
04011111;Altstadt (Ortsteil);2022-12-31;50 - 65;206;111;119;67;75;36;12;8;433;176
04011111;Altstadt (Ortsteil);2022-12-31;65 oder mehr;91;52;49;29;39;21;3;2;445;229
04011111;Altstadt (Ortsteil);2022-12-31;Insgesamt;1614;744;1091;481;445;228;78;35;2181;984
04011112;Bahnhofsvorstadt (Ortsteil);2022-12-31;unter 6;237;107;147;75;87;30;3;2;34;11
04011112;Bahnhofsvorstadt (Ortsteil);2022-12-31;6 - 15;262;117;159;65;99;51;4;1;36;21
