12411-03-03: Bevölkerung nach Geschlecht, Nationalität und Altersgruppen bis 90+ (Stand  31.12.)
Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1)
;;;;insgesamt;männlich;weiblich;Deutsche;Deutsche;Deutsche;Ausländer 2);Ausländer 2);Ausländer 2)
;;;;;;;zusammen;männlich;weiblich;zusammen;männlich;weiblich
04;Land Bremen;2021-12-31;unter 3;20483;10588;9895;15280;7891;7389;5203;2697;2506
04;Land Bremen;2021-12-31;3 - 6;20422;10475;9947;15148;7777;7371;5274;2698;2576
04;Land Bremen;2021-12-31;6 - 10;24885;12858;12027;18555;9560;8995;6330;3298;3032
04;Land Bremen;2021-12-31;10 - 15;29642;15296;14346;22910;11770;11140;6732;3526;3206
04;Land Bremen;2021-12-31;15 - 18;18111;9548;8563;14441;7510;6931;3670;2038;1632
04;Land Bremen;2021-12-31;18 - 20;12948;6656;6292;10168;5141;5027;2780;1515;1265
04;Land Bremen;2021-12-31;20 - 25;43494;22812;20682;31830;15824;16006;11664;6988;4676
04;Land Bremen;2021-12-31;25 - 30;47624;24815;22809;33833;17100;16733;13791;7715;6076
04;Land Bremen;2021-12-31;30 - 35;48904;25564;23340;34976;17940;17036;13928;7624;6304
04;Land Bremen;2021-12-31;35 - 40;44444;22666;21778;31807;16076;15731;12637;6590;6047
04;Land Bremen;2021-12-31;40 - 45;40580;20754;19826;29614;15018;14596;10966;5736;5230
04;Land Bremen;2021-12-31;45 - 50;38853;19539;19314;29177;14564;14613;9676;4975;4701
04;Land Bremen;2021-12-31;50 - 55;47451;24051;23400;39360;19783;19577;8091;4268;3823
04;Land Bremen;2021-12-31;55 - 60;50947;25526;25421;44591;22115;22476;6356;3411;2945
04;Land Bremen;2021-12-31;60 - 65;43712;21130;22582;39666;19116;20550;4046;2014;2032
04;Land Bremen;2021-12-31;65 - 70;36438;16928;19510;33442;15686;17756;2996;1242;1754
04;Land Bremen;2021-12-31;70 - 75;32625;14890;17735;30039;13813;16226;2586;1077;1509
04;Land Bremen;2021-12-31;75 - 80;26576;11901;14675;24604;10937;13667;1972;964;1008
04;Land Bremen;2021-12-31;80 - 85;27255;11275;15980;26108;10710;15398;1147;565;582
04;Land Bremen;2021-12-31;85 - 90;14022;5091;8931;13501;4862;8639;521;229;292
04;Land Bremen;2021-12-31;90 und mehr;7047;1956;5091;6700;1843;4857;347;113;234
04;Land Bremen;2021-12-31;Insgesamt;676463;334319;342144;545750;265036;280714;130713;69283;61430
04011;Stadt Bremen;2021-12-31;unter 3;16997;8861;8136;12826;6681;6145;4171;2180;1991
04011;Stadt Bremen;2021-12-31;3 - 6;16903;8649;8254;12655;6480;6175;4248;2169;2079
04011;Stadt Bremen;2021-12-31;6 - 10;20231;10437;9794;15357;7906;7451;4874;2531;2343
04011;Stadt Bremen;2021-12-31;10 - 15;24311;12542;11769;19065;9785;9280;5246;2757;2489
04011;Stadt Bremen;2021-12-31;15 - 18;14726;7780;6946;11804;6137;5667;2922;1643;1279
04011;Stadt Bremen;2021-12-31;18 - 20;10679;5540;5139;8388;4277;4111;2291;1263;1028
04011;Stadt Bremen;2021-12-31;20 - 25;36503;19224;17279;26453;13145;13308;10050;6079;3971
04011;Stadt Bremen;2021-12-31;25 - 30;40304;20845;19459;28675;14348;14327;11629;6497;5132
04011;Stadt Bremen;2021-12-31;30 - 35;41575;21621;19954;29887;15244;14643;11688;6377;5311
04011;Stadt Bremen;2021-12-31;35 - 40;37622;18954;18668;27094;13558;13536;10528;5396;5132
04011;Stadt Bremen;2021-12-31;40 - 45;34083;17381;16702;25078;12720;12358;9005;4661;4344
04011;Stadt Bremen;2021-12-31;45 - 50;32416;16190;16226;24462;12175;12287;7954;4015;3939
04011;Stadt Bremen;2021-12-31;50 - 55;39716;20092;19624;33046;16593;16453;6670;3499;3171
04011;Stadt Bremen;2021-12-31;55 - 60;42444;21324;21120;37194;18503;18691;5250;2821;2429
04011;Stadt Bremen;2021-12-31;60 - 65;35781;17301;18480;32417;15632;16785;3364;1669;1695
04011;Stadt Bremen;2021-12-31;65 - 70;29653;13861;15792;27136;12796;14340;2517;1065;1452
04011;Stadt Bremen;2021-12-31;70 - 75;26842;12262;14580;24619;11329;13290;2223;933;1290
04011;Stadt Bremen;2021-12-31;75 - 80;22031;9820;12211;20306;8963;11343;1725;857;868
04011;Stadt Bremen;2021-12-31;80 - 85;22748;9427;13321;21726;8906;12820;1022;521;501
04011;Stadt Bremen;2021-12-31;85 - 90;11720;4282;7438;11253;4072;7181;467;210;257
04011;Stadt Bremen;2021-12-31;90 und mehr;6005;1692;4313;5671;1579;4092;334;113;221
04011;Stadt Bremen;2021-12-31;Insgesamt;563290;278085;285205;455112;220829;234283;108178;57256;50922
040111;Mitte (Stadtbezirk);2021-12-31;unter 3;477;269;208;347;199;148;130;70;60
040111;Mitte (Stadtbezirk);2021-12-31;3 - 6;325;158;167;220;108;112;105;50;55
040111;Mitte (Stadtbezirk);2021-12-31;6 - 10;399;214;185;291;155;136;108;59;49
040111;Mitte (Stadtbezirk);2021-12-31;10 - 15;435;220;215;322;154;168;113;66;47
040111;Mitte (Stadtbezirk);2021-12-31;15 - 18;235;123;112;179;88;91;56;35;21
040111;Mitte (Stadtbezirk);2021-12-31;18 - 20;235;129;106;176;93;83;59;36;23
040111;Mitte (Stadtbezirk);2021-12-31;20 - 25;1653;864;789;1180;535;645;473;329;144
040111;Mitte (Stadtbezirk);2021-12-31;25 - 30;2172;1121;1051;1551;761;790;621;360;261
040111;Mitte (Stadtbezirk);2021-12-31;30 - 35;1947;1108;839;1341;744;597;606;364;242
040111;Mitte (Stadtbezirk);2021-12-31;35 - 40;1549;869;680;1056;582;474;493;287;206
040111;Mitte (Stadtbezirk);2021-12-31;40 - 45;1181;686;495;842;489;353;339;197;142
040111;Mitte (Stadtbezirk);2021-12-31;45 - 50;928;512;416;672;378;294;256;134;122
040111;Mitte (Stadtbezirk);2021-12-31;50 - 55;1116;618;498;931;514;417;185;104;81
040111;Mitte (Stadtbezirk);2021-12-31;55 - 60;1119;594;525;958;505;453;161;89;72
040111;Mitte (Stadtbezirk);2021-12-31;60 - 65;918;455;463;790;391;399;128;64;64
040111;Mitte (Stadtbezirk);2021-12-31;65 - 70;814;403;411;729;355;374;85;48;37
040111;Mitte (Stadtbezirk);2021-12-31;70 - 75;741;350;391;677;318;359;64;32;32
040111;Mitte (Stadtbezirk);2021-12-31;75 - 80;543;252;291;507;239;268;36;13;23
040111;Mitte (Stadtbezirk);2021-12-31;80 - 85;502;231;271;478;216;262;24;15;9
040111;Mitte (Stadtbezirk);2021-12-31;85 - 90;244;98;146;234;95;139;10;3;7
040111;Mitte (Stadtbezirk);2021-12-31;90 und mehr;162;37;125;142;32;110;20;5;15
040111;Mitte (Stadtbezirk);2021-12-31;Insgesamt;17695;9311;8384;13623;6951;6672;4072;2360;1712
0401111;Mitte (Stadtteil);2021-12-31;unter 3;477;269;208;347;199;148;130;70;60
0401111;Mitte (Stadtteil);2021-12-31;3 - 6;322;156;166;217;106;111;105;50;55
0401111;Mitte (Stadtteil);2021-12-31;6 - 10;397;213;184;289;154;135;108;59;49
0401111;Mitte (Stadtteil);2021-12-31;10 - 15;433;219;214;322;154;168;111;65;46
0401111;Mitte (Stadtteil);2021-12-31;15 - 18;224;114;110;178;88;90;46;26;20
0401111;Mitte (Stadtteil);2021-12-31;18 - 20;233;127;106;175;92;83;58;35;23
0401111;Mitte (Stadtteil);2021-12-31;20 - 25;1640;857;783;1178;534;644;462;323;139
0401111;Mitte (Stadtteil);2021-12-31;25 - 30;2160;1111;1049;1546;757;789;614;354;260
0401111;Mitte (Stadtteil);2021-12-31;30 - 35;1932;1096;836;1334;739;595;598;357;241
0401111;Mitte (Stadtteil);2021-12-31;35 - 40;1536;860;676;1052;579;473;484;281;203
0401111;Mitte (Stadtteil);2021-12-31;40 - 45;1168;677;491;837;486;351;331;191;140
0401111;Mitte (Stadtteil);2021-12-31;45 - 50;922;508;414;668;376;292;254;132;122
0401111;Mitte (Stadtteil);2021-12-31;50 - 55;1103;608;495;923;509;414;180;99;81
0401111;Mitte (Stadtteil);2021-12-31;55 - 60;1106;584;522;947;497;450;159;87;72
0401111;Mitte (Stadtteil);2021-12-31;60 - 65;912;451;461;785;388;397;127;63;64
0401111;Mitte (Stadtteil);2021-12-31;65 - 70;811;402;409;726;354;372;85;48;37
0401111;Mitte (Stadtteil);2021-12-31;70 - 75;738;347;391;674;315;359;64;32;32
0401111;Mitte (Stadtteil);2021-12-31;75 - 80;541;250;291;505;237;268;36;13;23
0401111;Mitte (Stadtteil);2021-12-31;80 - 85;502;231;271;478;216;262;24;15;9
0401111;Mitte (Stadtteil);2021-12-31;85 - 90;243;97;146;233;94;139;10;3;7
0401111;Mitte (Stadtteil);2021-12-31;90 und mehr;157;36;121;140;32;108;17;4;13
0401111;Mitte (Stadtteil);2021-12-31;Insgesamt;17557;9213;8344;13554;6906;6648;4003;2307;1696
04011111;Altstadt (Ortsteil);2021-12-31;unter 3;96;56;40;66;40;26;30;16;14
04011111;Altstadt (Ortsteil);2021-12-31;3 - 6;51;21;30;21;7;14;30;14;16
04011111;Altstadt (Ortsteil);2021-12-31;6 - 10;68;34;34;38;22;16;30;12;18
04011111;Altstadt (Ortsteil);2021-12-31;10 - 15;83;40;43;49;25;24;34;15;19
04011111;Altstadt (Ortsteil);2021-12-31;15 - 18;28;12;16;15;5;10;13;7;6
04011111;Altstadt (Ortsteil);2021-12-31;18 - 20;50;23;27;38;18;20;12;5;7
04011111;Altstadt (Ortsteil);2021-12-31;20 - 25;387;206;181;289;139;150;98;67;31
04011111;Altstadt (Ortsteil);2021-12-31;25 - 30;532;278;254;400;198;202;132;80;52
04011111;Altstadt (Ortsteil);2021-12-31;30 - 35;402;240;162;263;162;101;139;78;61
04011111;Altstadt (Ortsteil);2021-12-31;35 - 40;319;194;125;196;117;79;123;77;46
04011111;Altstadt (Ortsteil);2021-12-31;40 - 45;250;143;107;169;101;68;81;42;39
04011111;Altstadt (Ortsteil);2021-12-31;45 - 50;201;115;86;133;76;57;68;39;29
